,bmi_<20,bmi_20-25,bmi_25-30,bmi_30+
28008,SHISAL2B,NOX5,SELENOS,AC093866.1
28009,NAA15,LINC01801,FBXO44,TRIM51
28010,AL513548.4,HOXC13,SNRPG,AC090617.2
28011,STAC,ADAM30,SNRNP27,LINC02598
28012,IL2RG,AC024451.4,BLOC1S1,AL162632.3
28013,RELT,AC021723.2,AL590560.3,AL450270.1
28014,AC005332.6,MYB,RXRA,AL356309.1
28015,KBTBD11-OT1,AC007610.2,NT5DC3,AC006111.2
28016,AC022101.1,AL691520.1,DCAF4,AC025465.4
28017,TARBP2,C10orf142,NGFR,AC011498.6
28018,ACE2,AC023043.1,AC087164.1,CD1D
28019,ADAM18,AC104411.1,CHERP,AC012065.4
28020,AC067930.3,AL500522.1,FNDC3B,ALPG
28021,UBE2G1,KRT8,CTDNEP1,AC133480.1
28022,TGM4,TRBV7-3,AP001341.1,AC091588.2
28023,GDI1,LINC01696,ZNF362,AC021613.3
28024,AC003956.1,PRAMEF10,AC245452.1,AL132712.2
28025,AGAP5,AC024132.3,SNHG8,RNF185-AS1
28026,LINC01397,ZNF654,DYRK4,AC098680.2
28027,AC021546.1,AC138969.1,SCAF4,AC015911.9
28028,PPFIA2-AS1,AC018767.3,OXSM,DEFB118
28029,KRBOX4,TRBV26OR9-2,DHRS11,KRT82
28030,LINC-ROR,AC106038.1,AL162253.2,AC233702.7
28031,AC090907.3,ZFHX3,RBM45,AC137936.1
28032,CLDN19,AL590617.2,PXMP2,AC068473.2
28033,SIRPB1,NOD2,ADSL,CPA6
28034,AC012557.1,AC009387.1,ARNTL2,AL132819.1
28035,PP2D1,AL008636.1,NBPF9,AC079768.3
28036,GAB4,LINC02346,DBNDD1,AC023137.1
28037,NOLC1,AC004000.1,AC009505.1,SPINK4
28038,PRSS38,AC022211.1,LINC00440,CHIA
28039,EHD2,AC009468.1,FAM122B,SLC18A3
28040,AL512625.1,GIPC2,PAICS,AC239802.1
28041,LRRC72,TMPO-AS1,MRPL40,AC132872.3
28042,LINC02732,RS1,IKZF4,AC105460.1
28043,GOLT1A,LINC01100,AL133480.1,AC107909.2
28044,C11orf71,HMGB4,ZBTB8A,AL160408.6
28045,TYW5,AP000487.1,AL157893.2,AL109976.1
28046,RRAS,OR2F1,PRRT3,AC018607.1
28047,AC008937.3,IGLVIVOR22-1,ABHD17B,CSN1S1
28048,TULP1,LBP,PPIB,TAB3-AS2
28049,VPS37C,AC021744.1,RFC3,AC093240.1
28050,RPL22,AC004994.1,SLTM,FFAR2
28051,RPL3L,LINC00362,MT1F,FLT4
28052,BCL7C,CPD,GSKIP,OR52N4
28053,HPGD,LINC01160,AC104461.1,KLK1
28054,AC009434.1,LINC01097,CAPS2,AL391056.2
28055,AL133243.2,AL139193.1,USB1,AC010883.1
28056,RCN2,TENM3-AS1,TMEM43,LINC02612
28057,AC100832.2,AC092924.1,MICAL2,MIOX
28058,SLC23A3,AC008972.2,GPAT3,AC022274.1
28059,CCDC198,AL356804.1,MEIS1,AC092580.4
28060,AC026391.1,KLK4,TMEM150C,AC254633.1
28061,AC103718.1,TNFRSF19,LRP12,LINC00492
28062,TIMP3,AC018410.2,EEF1A2,AC063923.2
28063,LINC00907,AC002558.2,CCNT2-AS1,LINC00563
28064,AP000915.2,HCST,GOLGA7,AC090425.2
28065,AC107029.1,AL163952.1,PPP1R26,FERD3L
28066,AC034102.5,AL110115.1,SH3RF1,AC244517.9
28067,LINC01553,AC092979.1,OR2L8,DEFB131B
28068,DOCK9,AC025475.1,SNF8,AC010336.2
28069,ART4,AC246680.1,DENND3,LINC01165
28070,AP001885.2,OLIG3,DUOXA1,AP005717.1
28071,HADHB,BPIFB4,MCAT,LINC01690
28072,AL109824.1,LINC00404,LRFN1,CCL21
28073,AC009948.2,AC099520.1,P4HA2-AS1,OSR2
28074,TMED3,TMEM202,IP6K3,CDRT15
28075,AL034427.1,C16orf78,DTNB,NTS
28076,AC107214.2,AC084121.9,KDM2B,AP005210.1
28077,SLIT3,DLK1,ARNT2,CPA2
28078,AC104958.1,NLRP13,PRELID2,DEFB121
28079,CHCHD1,STIM1,KCP,OR2T27
28080,DHRSX-IT1,OR6C75,AC103770.1,DEFB107B
28081,CTBP1,DOCK8,CCNK,AC104958.1
28082,AC007285.2,TNFSF13B,VPS13B-DT,PAEP
28083,SNAI1,TSSK4,AC096577.1,DM1-AS
28084,AC108667.2,AL035443.1,BTBD11,FAM87B
28085,IL12RB1,AC021451.2,CNIH4,IGKV1OR2-1
28086,DNAJC21,AC134349.1,TMEM65,AC129807.1
28087,SBSPON,AC012564.1,AC018682.1,APLN
28088,ASAH2,LALBA,FAM136A,AADACL3
28089,AC123595.1,AC124242.1,AL512330.1,SYNJ2-IT1
28090,LINC02345,RAB38,MARCH4,BMPR1B-DT
28091,AL360182.2,AL021917.1,LAMP1,AP001205.1
28092,BATF3,GDAP2,DDX49,AL807757.2
28093,AL590787.1,IPO11,PDZD2,KIR2DL4
28094,LINC00702,DYNC2LI1,AAR2,AP000593.3
28095,AC116351.1,BRWD1-AS1,GRID1-AS1,AL161431.1
28096,DKK4,SAMD7,MRPS5,LINC01100
28097,AP002762.3,AC026780.2,STAM,AC016820.1
28098,DCXR,PERM1,RAB27A,AL132712.1
28099,AC087623.2,CRYGB,RABAC1,AL354892.2
28100,RUNX2-AS1,ARHGEF12,SNRNP35,RSF1-IT1
28101,SMARCC1,AC093158.1,GLT8D2,AL589863.2
28102,AC073046.1,AC110767.1,HIKESHI,Z97653.1
28103,NDC80,TMEM212,CDH7,AC004893.3
28104,ASCL4,IGLC2,SRD5A1,AC084030.1
28105,AP001783.1,AC022413.2,PKD2L2,TSKU
28106,HSDL2,NFAM1,NOXA1,POTEE
28107,IGF2-AS,DDX53,FGF18,SOX17
28108,GPR17,AC090515.5,PRPF38B,AC069023.1
28109,LINC02645,ANKRD33B-AS1,CASC3,AC011473.1
28110,PPA1,SLC43A2,TBC1D7,AC012533.1
28111,SLC29A2,LINC00449,CNKSR1,GOLGA6B
28112,ASB5,SRGAP3-AS1,HHLA1,AL390786.1
28113,AC100861.1,AL121935.2,ZDHHC7,AC108517.2
28114,TMEM97,AC004974.1,POLE4,AC009117.2
28115,UNCX,AC079466.2,COIL,SLC26A9
28116,FSHR,AP001554.1,CDKN2AIP,AC068858.1
28117,HAUS6,E2F7,IL6R,GPER1
28118,SKP2,AC106052.1,MBIP,LINC00518
28119,TOMM20L,MAML1,RTN2,OPN1LW
28120,SOX14,AL359313.1,NEURL4,AL513524.1
28121,PRMT1,AC131025.2,RASD2,ADGRE1
28122,EN2,AL161669.3,MCRIP1,AC003982.1
28123,TRMT112,AC068075.1,ABTB1,AC127526.4
28124,SKA3,ESYT2,RTL5,LINC02089
28125,ZNF227,DLEU7,AP004608.1,AC134508.2
28126,CFAP57,DEC1,AQP11,LINC01683
28127,AP001021.3,AC009133.3,OPRD1,AC004408.1
28128,AC068672.1,MACC1,C16orf46,C7orf65
28129,AC026782.2,OR4C13,LNP1,AC009269.5
28130,LINC00353,BEAN1,DDIT3,AC009269.3
28131,AC069503.3,CYP11A1,ELN,LINC01640
28132,OR14A2,SLC22A8,AC080132.1,AC022535.1
28133,AK1,GPR176-DT,TMLHE-AS1,RPL10L
28134,AC007731.5,AC019257.1,CHRNA7,KRTAP19-5
28135,OR2A7,MT-ATP8,DUT,AC016575.2
28136,AL031283.2,GNG12-AS1,MYLIP,TRBV21OR9-2
28137,AC011753.2,TBX20,CGNL1,AL590666.5
28138,AK9,OOEP,NUDT16L1,AC134312.2
28139,AL356056.2,CENPU,BUD13,AC063947.1
28140,NAPSA,AL139316.1,ST3GAL4,IL22RA1
28141,AC090617.2,VANGL1,AC015726.1,AL138789.1
28142,PLS3,AC007014.2,TRAPPC3,PTOV1-AS2
28143,SLC16A2,MEG8,PAF1,AP000851.1
28144,AL137847.2,AL353811.1,IQCG,AC021491.4
28145,LBHD1,AC144833.1,SLC45A1,AL358780.1
28146,PRDX2,AL450442.1,LINC02306,AP001610.3
28147,AC106864.1,OR6C4,OBSL1,AC006566.1
28148,NLRP7,BARX1-DT,MIER3,TRAJ14
28149,MYRF-AS1,ANK3-DT,NLRC3,AC087468.2
28150,PPP2R2D,AL161851.2,FKBP11,AL158837.1
28151,AL158801.3,GKN2,KRT10,BARX1-DT
28152,KLF16,NGF-AS1,CA7,AC103739.3
28153,AL691447.2,AC037433.1,MCHR1,AL121890.3
28154,PTH,LINC01972,RASGRP2,AL121981.1
28155,AL390208.1,LINC02173,CXCL14,AL162731.1
28156,ADRA2B,PISRT1,ERI1,AC008115.4
28157,MAP3K2,AC073288.2,NEB,AC087071.1
28158,WASHC2C,LINC01744,VPS52,AL355592.1
28159,LIMS2,LINC00708,AC083949.1,PDCD1
28160,GLRA3,AC020911.1,CA3,LINC01629
28161,FLOT2,BANCR,RND2,CD200R1L
28162,CNKSR2,RRP12,RWDD3,AL358787.1
28163,APP,GGTLC1,KCNQ4,IL1RN
28164,FCAR,ACSM2A,PAFAH1B3,AL513324.1
28165,AC093798.1,AC006213.7,TUT7,AL121970.1
28166,AC104655.1,AC093909.4,SMKR1,AL161636.1
28167,DKC1,AL033519.5,SUMO3,AC027811.1
28168,AL445255.1,FGF14-AS1,SIDT2,SCYGR5
28169,WIF1,HIST1H2AH,PHPT1,SALRNA3
28170,SLC22A3,SLAMF7,ZNF239,SMAD5-AS1
28171,AC091893.2,HCG27,LINC00623,XCR1
28172,AC027306.1,AC005019.2,BBS1,AC026427.1
28173,HLX,LINC02570,VRK3,LINC02446
28174,FRZB,MAGEA4-AS1,VIPR2,AL590491.2
28175,LMO7-AS1,INSRR,SNHG5,AL662873.1
28176,DAP3,OXER1,WAC-AS1,INSRR
28177,AP001160.1,LIG4,COMMD5,ALB
28178,AC015909.2,OR9Q2,DYNLT1,AC072022.1
28179,PCNX3,AP000785.1,CNTFR,AC008763.1
28180,COMMD8,AL138708.1,PPP5C,CEBPE
28181,AC083973.1,AC006063.2,LAMTOR1,AC080129.1
28182,NID2,GLT6D1,TXK,MROH2A
28183,GCN1,AL138731.1,URM1,C11orf21
28184,AC093639.2,MCTP1,AL157769.1,AL590282.2
28185,AVIL,GPX2,TIMMDC1,AL390067.1
28186,AC008440.1,RNFT1-DT,MEPCE,AC108517.1
28187,AP001574.1,CTBP2,MDP1,MRGPRD
28188,CARS-AS1,AC108749.1,TRAPPC2B,AC037459.4
28189,LINC01544,BBS4,MIEN1,AC026774.1
28190,AC040963.1,LINC01487,CDC23,LINC00358
28191,AC011479.2,AL137186.1,AC245060.6,DLK1
28192,PID1,AC013439.2,MSRA,FGF10-AS1
28193,AP001160.4,CEACAM3,ZNF521,AC005162.2
28194,CRYGS,MARK1,CCN3,AGXT2
28195,AP003472.1,AC025278.1,CHRDL1,OR14J1
28196,UPK1B,AC117469.1,MCOLN2,AC018529.1
28197,TAF1D,LINC01738,SH3D19,CTRB2
28198,AC012146.1,LRRK2,LINC02288,DEFB125
28199,PLAGL2,NCKAP1L,LIMS1,AC004875.1
28200,NPIPB4,TEMN3-AS1,UBOX5-AS1,CFHR3
28201,ACP7,AC010333.1,CRHR2,AL023653.1
28202,UBA7,OR5BS1P,TAPBP,AC004672.2
28203,PACSIN2,SPINK14,NRXN2,TSPAN8
28204,SF3B6,AC084116.3,ZDHHC16,LINC02567
28205,RNF125,NODAL,CAPN1,AL139811.3
28206,TONSL,AC007638.2,AC087294.1,AP001476.1
28207,CD244,AC068724.1,RNFT2,AL158063.1
28208,HIST1H4K,TSSK1B,LYRM1,AC112236.2
28209,LRRN4CL,AC026310.2,GRID2,AC006372.1
28210,AC061975.7,AL445645.1,ZNF675,LTB4R2
28211,AC246787.2,ZSCAN4,GAD2,AC005034.2
28212,AC108067.1,IGF2BP3,ARFGAP1,AL392185.1
28213,ATP2C2,AL049874.3,CDHR3,CHAD
28214,RAB40AL,AC002529.1,GGA3,AC087477.5
28215,TMED1,LINC01486,AC107021.1,AC113361.1
28216,INSC,AC098820.3,AC073571.1,AC009145.1
28217,ZYG11A,MSH3,PISD,CYP2A13
28218,AL691420.1,GNGT2,TAFA1,AL355870.2
28219,CMSS1,OR13C2,CAMSAP3,AL031710.2
28220,SFT2D3,PWRN2,ABL1,CEACAM16
28221,CCL14,TBC1D3F,ELP4,AC020743.1
28222,ELK4,RORA-AS1,ENDOV,AP005137.2
28223,TAF2,AC104462.1,WDR44,ZNF705G
28224,AC023355.1,LINC01973,TLCD3B,AC008764.5
28225,RAD52,AC105150.1,ARAP2,LINC02065
28226,AL035588.1,AP000290.1,FBXO28,LINC00028
28227,AL360093.1,HES5,ANKRD44,AC073863.1
28228,AC131097.2,AL391839.1,PIGU,AC243830.3
28229,PSMB10,LINC00547,DNAJC13,HUNK-AS1
28230,INPP5A,NBPF3,AC011474.1,AL606970.3
28231,RBM11,ASAH2,LINC00664,AC018695.4
28232,AC004771.2,AC079858.1,Z94160.1,IGHG1
28233,PIWIL3,OCM2,PLEKHA7,MED14OS
28234,LINC02185,GGTLC3,BCLAF3,HOXB2
28235,VXN,AP005202.1,AC007405.1,AL357673.2
28236,DCTN4,LNCNEF,PHYH,AC055720.1
28237,AL353708.1,AC093746.1,NRIR,AL161782.1
28238,AC073115.2,OR2T6,ZFP64,AL139130.1
28239,FOXP3,AL161793.1,CORO7,IGHD
28240,AC023787.2,PADI6,SLC38A11,AC091965.1
28241,AP003123.1,FOXP4-AS1,AC090115.1,AL445190.1
28242,FRMD8,AL359853.1,DPY19L3,AL033384.1
28243,AC015813.4,AC124784.1,JUNB,DCUN1D2-AS
28244,F13A1,ANAPC4,HSD11B1,AL121757.1
28245,AC011726.2,LINC01674,PDRG1,LINC02831
28246,FBXO25,AC003982.1,TXNRD1,AC078955.1
28247,AC005722.3,AL512366.1,VKORC1,AC013452.2
28248,KANK3,AC136424.1,DDX20,AC114814.1
28249,AC022509.3,LINC01784,SURF1,ACTL8
28250,AL732314.4,TRBV6-8,HDDC3,AC011446.3
28251,ATP1B4,OR5K3,EIF6,PON3
28252,CDC37L1-DT,AC004080.17,ACTR3,TCP10
28253,AC018904.1,TTTY19,SLC12A6,LINC02842
28254,MAT1A,LCE4A,ASPSCR1,AADACL4
28255,AC025171.3,TRAV38-1,PSMG3,AC027319.1
28256,EFCAB14,FOXB2,SYNGAP1-AS1,LGALS14
28257,FOXJ2,IGHV1-3,NIPA2,AC138089.1
28258,C13orf42,TAAR5,TRMT5,AL121974.1
28259,FOXN3-AS1,AC009852.1,SOX9-AS1,OR10G4
28260,ZNF474,AC011410.1,PRAG1,OR8B8
28261,FCRLA,AC021072.1,PGAM5,AC013269.1
28262,CBFA2T2,KRTAP20-4,DPH5,OR7G2
28263,KMT2E-AS1,AC093763.1,GTF2IRD2,AL161645.2
28264,MRPL28,AC083841.3,TMEM107,CYP17A1
28265,PHC3,AC093871.1,COQ6,AC010997.2
28266,AC006213.2,MRGPRX4,AC011369.1,AL157378.1
28267,F2RL3,AP003068.3,PLS3,AL035251.1
28268,AF107885.2,AC104971.3,PYM1,CLRN2
28269,POLDIP3,TRAV2,RAB33A,CDK1
28270,AC064874.1,DEFB129,CRKL,LHX8
28271,EMC8,AC026719.1,DNALI1,GOLGA6L22
28272,AC069421.3,HOXB-AS2,NAB1,GPBAR1
28273,RBCK1,AP000474.1,SSTR3,AC021517.1
28274,AL049712.1,AC016903.1,UBXN2A,CLEC3B
28275,GPN3,TRAJ1,AC015849.3,AC007278.2
28276,RGR,AC139834.1,JAG2,AL139823.1
28277,SPSB4,AP006216.2,CFL2,AC103681.1
28278,ZNF703,RTL1,EFCAB14,HOXB-AS4
28279,DNAAF4,FP325330.3,GPS2,AC233280.1
28280,AL139330.1,AL033539.1,ACOT11,AL606970.1
28281,AGAP1-IT1,AL359979.1,ZC3H18,AC092756.1
28282,SEC14L6,AL606970.1,EIF5A2,AL158800.1
28283,LINC02705,TDRD3,CCDC85C,AL133167.1
28284,SH2D1A,DISC1-IT1,ERGIC3,AL359962.2
28285,AC073130.1,AL138812.1,EGFL7,AC124017.1
28286,DUBR,PCP4,GABPA,AC063977.3
28287,LHX5-AS1,LINC02666,C20orf96,LINC01779
28288,AC073283.1,AL449983.1,NAGK,SLC16A12-AS1
28289,AC005908.2,MYH2,KLHL9,AC009133.2
28290,KLF14,SFN,RTN4IP1,ZNF280A
28291,AC022360.2,MBL2,PTCH2,AL731661.1
28292,FXYD5,HAO2-IT1,PPP4R3A,GDF3
28293,LINC00642,PKLR,MRPS18A,HSPB7
28294,CELA3A,AL355102.4,ZNF587B,AC073263.2
28295,AL138895.1,AL929288.1,MKX,SSU72P8
28296,AC009505.1,AC097375.4,RFT1,AL132642.1
28297,CACNB2,AC092723.4,COG2,LINC01531
28298,AL353708.3,AL359076.1,CEACAM19,AC006040.1
28299,BRWD1-IT1,NR5A2,ZBBX,C20orf85
28300,RASSF10-DT,AC138331.1,TMEM223,BANCR
28301,NUDT17,CC2D2A,PODXL,AL136234.1
28302,AC092153.1,POU5F2,UTP14A,AC024933.2
28303,EFCAB8,AC011726.2,PRPS1,AC107982.2
28304,PCYT1B-AS1,AC100788.1,SPRYD4,CASC20
28305,DCAF10,AP001831.1,ACER3,MLN
28306,EPM2AIP1,PYHIN1,SMPDL3A,AP000821.1
28307,RAD21-AS1,SALL4,PEX13,GRK1
28308,AL445123.2,ARRDC1,PLCH2,AC115284.3
28309,TMEM233,AC107081.4,POLR3E,AC007422.1
28310,TMEM252-DT,AC005224.2,ARHGAP20,APOL5
28311,PPP1R9A,FILIP1L,SPRTN,AC021979.3
28312,HDC,LINC00373,SAAL1,AC012065.1
28313,AL157871.5,LINC02401,EIF1AD,LINC01619
28314,SUV39H2,DSG1-AS1,MAP3K3,AC011461.1
28315,KIAA0586,DYDC1,ZNF557,F9
28316,CTLA4,TMEM252,SYNGAP1,SPINK9
28317,WBP1,AC008794.1,CRNKL1,AL499602.1
28318,AC126121.2,LINC02538,PRKAB1,LINC01431
28319,CERNA2,CCDC83,MAPK1IP1L,AL121787.1
28320,OSBPL9,AC108879.1,CCDC157,MSMB
28321,CARNMT1,AP001981.2,TADA1,KLK13
28322,AC062021.1,AC019080.1,LINC00894,LINC01070
28323,IPO5,AC103871.1,MAML1,AL161757.3
28324,LIMD1-AS1,OR4C3,AC010632.1,LINC02142
28325,POLA2,AP002340.1,ALKBH2,AC007182.1
28326,FP236315.1,AC126365.1,ZNF316,AC064874.1
28327,PLAU,AC114763.2,FKBP15,LINC01714
28328,AL031666.3,CYP4X1,MICALL2,ASB9
28329,QTRT2,AP005899.2,FAM66D,AC084375.1
28330,SPDYA,AC069079.1,CYYR1-AS1,LINC02173
28331,CC2D2B,CCDC197,AC007780.1,AP005062.1
28332,AC008040.1,AC026691.1,BRIX1,AL731575.1
28333,CAVIN2,AC093894.2,HUNK,ISLR
28334,TLDC2,AC027306.1,PDE6C,TMEM207
28335,MAGEC1,OVAAL,SLC1A1,AP001059.1
28336,NLRP12,AC036101.1,COMMD8,PFN3
28337,LINC02377,DHX32,PANK1,H2AFB1
28338,CADM2-AS1,OR4S2,FAM122A,AC136443.4
28339,CDC42-AS1,XAGE1B,ALDH1A1,DNAJB8-AS1
28340,AP002008.4,AC073359.1,AC018816.1,APOBEC3B
28341,AC093627.5,CLDN25,MAMSTR,LINC01520
28342,GTF2H2C,PRAMEF5,STIM2,AL096712.2
28343,SPINK2,KRTAP20-3,USP39,AC022634.2
28344,LFNG,LINC01809,AC061961.1,AC090820.2
28345,TNKS2-AS1,AL161638.2,HEXA,FAM220A
28346,TMEM253,AL031674.1,ZCCHC8,RBPMS-AS1
28347,AF064860.1,PTPRN2,ARHGAP1,LRP1-AS
28348,AL359715.2,PHACTR3,CFAP299,AP000569.1
28349,ZNF219,AC093422.2,DKK2,AP003396.3
28350,AP001462.1,LINC01290,POLR2L,AC104534.1
28351,TTLL10-AS1,MFAP4,MORN4,OR4C13
28352,ACSL4,AC090023.1,ENTPD7,AC006148.2
28353,CHST4,AC027801.4,ITIH2,AL354864.1
28354,LPIN3,USP24,ZNF487,AC138781.1
28355,BATF2,SEMA3E,STK19,AC116348.2
28356,GJA5,AL591643.1,AL161804.1,AC027117.1
28357,JSRP1,AC091100.1,MIGA2,DLG3-AS1
28358,HPRT1,OR8D1,ERMARD,AC005912.2
28359,LINC01152,ST6GALNAC3,AC023906.4,AL132981.1
28360,AC008915.2,AC091167.5,RAP1GAP,AC110772.1
28361,PRMT5,AC016769.5,FAM89B,AC110790.1
28362,FZD10-AS1,AL356414.1,ZNF699,AC006972.1
28363,FBXO10,WFDC5,PCGF6,SERPINA12
28364,PTPMT1,NMI,PARP16,AL513523.3
28365,SYNPO,AC007402.2,CYP26B1,TCP11X1
28366,ZNF366,AC024075.3,FXR2,AC108063.1
28367,ANXA2R,AP000777.1,SRD5A3,AC138057.1
28368,RAD54L,TSPAN9-IT1,C6orf62,AC141586.2
28369,AC013265.1,KRTAP21-3,ZNF155,AC073023.1
28370,AP001469.3,AL136524.1,LINC01166,AC006296.1
28371,FO681492.1,AL133457.1,AC090589.2,AL158038.1
28372,AP001527.1,AC099661.1,AC092745.5,ERLNC1
28373,EBF3,AC018845.3,RAB2B,AC068643.1
28374,LINC00235,LINC02770,AC092338.2,AC098859.2
28375,FOXA1,AC103808.6,UGDH,AC019117.1
28376,AP002748.6,AC008549.1,RBM22,LRRC8E
28377,LRRC61,APOC1,AP003469.4,LINC02690
28378,SEC14L3,Z98949.1,AC011455.6,IGBP1-AS2
28379,ZNF177,LINC01993,NAGLU,GC
28380,AP4S1,AC055717.2,PSMG4,LINC01753
28381,AL590235.2,AC068616.3,SCRN3,AC137590.1
28382,ZNF33A,AL158211.1,AL009177.1,RRM1-AS1
28383,HS3ST3B1,IGFL2,UEVLD,MROH2B
28384,FGF20,KCNK5,CCDC148-AS1,AC079336.3
28385,GCNT7,AL139095.5,THADA,OR10G3
28386,MCF2,AL390866.1,GSPT2,AC007728.1
28387,MAD2L2,TMEM247,AC015961.1,AL137786.3
28388,AC084128.1,AC128709.1,RERG,AP002761.4
28389,TMPRSS13,IL18RAP,BTBD7,AC084866.2
28390,ALDH3A2,HLX-AS1,LLPH,LINC02428
28391,SH2D3A,RBM46,TIMM44,PEX5L-AS2
28392,GPR176-DT,AC016710.1,ACVR2A,ODF3
28393,NTF3,AC004047.1,WFS1,AC133552.5
28394,GPR37,AC008625.1,PEPD,AL139193.2
28395,NLRP10,IGKV1OR2-108,HYPK,AL136961.1
28396,CORO1A,AP000997.2,CSDC2,AC009137.2
28397,GNA15,LINC02271,DAP3,CSTA
28398,AC034229.4,AC243585.1,CDC25B,EGFLAM-AS1
28399,SLC16A1,ACTN1-AS1,SSR4,AC126365.1
28400,NPIPB8,AC009396.2,MRPL22,AL031430.1
28401,AL450263.1,LY6G6F,RHBDD2,OR52N2
28402,KCTD13,AC104561.1,ALG2,AC125603.1
28403,CLDN12,AL590483.1,LINC01280,AC021035.1
28404,AC103955.1,AL135841.1,FAM167A,MC2R
28405,RBM46,AC011442.1,ZNF839,AC023830.2
28406,DDC,AC087392.2,TAF1A,AL020994.3
28407,SERPINF2,WWTR1-IT1,CDK5RAP3,TBC1D3C
28408,AC021269.3,AL445648.1,NPIPB11,AC008406.2
28409,EPS15,AL353704.2,ZNF696,EGLN3-AS1
28410,ZNF311,AL138830.2,SNHG32,PNMA6E
28411,AL137017.1,AC109361.2,SNX19,AL136320.1
28412,WNT3,AC133485.5,CGREF1,CLEC1A
28413,ARHGEF4,AC092755.1,SYT7,AC107958.3
28414,EXD1,AL022329.1,AC105206.2,LINC01087
28415,CCDC63,TERB2,SNAPC2,MS4A5
28416,ZC3H18,FAM71F1,AC016831.1,AC236972.4
28417,KIRREL3-AS3,LINC01861,ULK3,LINC01230
28418,AC098869.2,LINC02490,TRPC5,USH1G
28419,AC016595.1,AP005131.3,EMILIN3,AP001178.2
28420,AL355497.2,AC003685.1,AP001011.1,PCARE
28421,OR5H1,AC097468.1,ABHD10,AC010422.1
28422,DNAJC27-AS1,C15orf54,GORAB,LINC01581
28423,CHIC2,AL136234.1,TMIGD3,AC079763.1
28424,NAP1L4,AC022118.1,UBB,AC079248.1
28425,VPS72,AC004542.1,PPRC1,AC016588.1
28426,PRB1,SLIT3,TIMM23B,AC007540.1
28427,AC084024.3,AC129492.2,PTP4A2,AC120114.2
28428,AC009234.1,AP001381.1,AC131934.1,AC211486.6
28429,AL355297.2,TMEM68,MAS1,BACE2-IT1
28430,AC016831.5,LINC01201,AL392023.2,LINC02489
28431,C1S,LINC02197,ARHGEF33,AC092159.1
28432,SPOCK3,CYP2B6,HYLS1,AC091868.2
28433,SASS6,KCNMB2,AC104964.4,AC093677.3
28434,ZNF155,AC098817.1,THUMPD3,AC004448.5
28435,MVB12B,LINC01967,AC026979.4,AC091010.1
28436,MLANA,GPM6A,LINC01284,AL441943.1
28437,HOXC4,AC015878.2,NFE2L3,AC104770.1
28438,LINC01159,AC026108.1,RBM10,ATP2B2-IT1
28439,AP003385.3,LINC02142,KLC4,AC097381.1
28440,CCT6A,AL590814.1,SIRT2,AC007731.5
28441,AC018695.8,LINC02555,KCNJ10,PATE4
28442,ROBO1,OR52J3,ZNF574,IGHGP
28443,ABHD12,AL606970.3,ADI1,AC026803.2
28444,YKT6,GLRX3,SSRP1,LINC01935
28445,AKAP14,AC011477.3,LRRC27,LINC01177
28446,SLC39A1,PTPN1,RNFT1,AL049747.1
28447,LINC01620,SSX5,COQ3,AC109464.1
28448,LAX1,AC090559.1,PGC,AC078850.2
28449,AC004076.2,AC104119.1,ADIPOR1,AC005343.4
28450,PWRN2,Z98749.1,AC007614.1,FOLH1
28451,AC097467.3,Z95114.1,CUTC,SMIM36
28452,ZNF443,AC112496.1,GALNT14,AC097654.1
28453,CTBP1-AS,SLC26A1,AC097376.3,UGT1A6
28454,TMPO-AS1,AC079384.1,USHBP1,AC079384.2
28455,CEP170,AC009065.2,AL162497.1,HDGFL1
28456,AC005821.1,IL1RN,AC104211.1,AC087752.3
28457,LATS1,UGT2A1,AC016821.1,AL512356.4
28458,CAMK1,CLCN5,C5orf22,AL365226.2
28459,AL121972.1,PCAT19,PRRC1,AC021549.1
28460,MYT1L-AS1,IGFBPL1,BLVRA,CHRNA9
28461,AC211486.2,AC107074.1,CEP85,AC025038.1
28462,MEAF6,TFAP2A-AS1,C20orf27,TDGF1
28463,AL139398.1,HBG2,TUG1,OR2T34
28464,NOCT,AL158835.1,ITGA6,AC005544.1
28465,LMOD2,AC053503.2,AC004470.1,AL353803.4
28466,TMPRSS15,CACNA1C-IT1,DOP1B,AC008278.2
28467,PCNA,AC011287.1,NUDT15,LINC00293
28468,CCKAR,AC245033.2,PHB2,BX323043.1
28469,RBIS,AP003174.1,NEDD9,SLC2A5
28470,ENOX2,AC092296.1,ERICH3,AC008948.1
28471,AC124893.1,ULBP1,LINC01793,AC073349.5
28472,RSPH4A,AC064805.2,PDCD4,AC007485.1
28473,LINC02603,AC002398.1,COQ7,AC008687.2
28474,LINC02777,NAALADL2-AS2,CNOT6,SLC36A2
28475,TBX3,SEMA3F-AS1,LINC01535,ACSM2B
28476,THADA,SERPINB7,TIRAP,AL096678.1
28477,LIG1,SPATA32,SLC24A1,AC104088.2
28478,AL807752.5,LINC02179,EMSY,PDCD4-AS1
28479,AC233263.6,ACY3,SNUPN,OR2AP1
28480,AP002784.1,AC105046.1,SLC30A4,AC098587.1
28481,FOXB1,TAFA3,RESF1,AC111170.2
28482,LINC00443,DNAJC15,NDE1,BX539320.1
28483,TFAP2C,AP003027.1,ASL,EVX1
28484,AC007556.1,TBCK,UMPS,PIK3CD-AS1
28485,GLT6D1,LINC01443,LRRC34,AC023300.1
28486,AC100858.3,AC090502.2,ANKRD9,LINC00708
